time (s),U,V,W
15.3125,-7.65,1.1,-0.97
15.34375,-8.23,1.16,-1.09
15.375,-7.81,1.66,-0.97
15.40625,-8.26,0.96,-1.31
15.4375,-7.6,1.17,-1.03
15.46875,-7.46,1.1,-0.75
15.5,-8.3,1.17,-0.74
15.53125,-8.18,1.3,-1.34
15.5625,-7.85,0.93,-0.85
15.59375,-8.06,0.61,-0.92
15.625,-8.13,2.16,-1.33
15.65625,-8.07,1.73,-1.21
15.6875,-7.91,1.42,-1.28
15.71875,-7.53,1.33,-0.84
15.75,-8.59,1.17,-1.37
15.78125,-7.79,1.43,-0.99
15.8125,-8.83,0.57,-1.47
15.84375,-7.13,1.89,-0.64
15.875,-8.32,1.21,-1.47
15.90625,-7.87,1.78,-1.32
15.9375,-7.35,2.1,-1.15
15.96875,-8.07,2.34,-1.53
16,-7.28,2.63,-1.86
16.03125,-7.58,3.04,-1.28
16.0625,-7.42,2.71,-1.33
16.09375,-8.09,2.44,-1.16
16.125,-7.93,2.48,-1.58
16.15625,-7.83,2.91,-0.94
16.1875,-6.9,2.54,-1.27
16.21875,-7.33,3.24,-1.29
16.25,-7.62,2.73,-0.99
16.28125,-7.31,2.49,-1.13
16.3125,-7.96,2.46,-0.69
16.34375,-7.43,2.46,-0.96
16.375,-8.12,3.15,-0.99
16.40625,-7.87,3.17,-0.84
16.4375,-7.49,3.26,-0.75
16.46875,-7.32,3.17,-0.63
16.5,-8.2,3.47,-0.27
16.53125,-7.65,3.12,-0.46
16.5625,-8.31,2.78,-0.46
16.59375,-7.36,3.26,-0.28
16.625,-8.22,3.51,-0.71
16.65625,-7.3,3.83,-0.07
16.6875,-7.44,3.36,-0.74
16.71875,-7.91,3.36,-0.6
16.75,-8.38,3.19,-0.4
16.78125,-8.86,3.36,-0.33
16.8125,-8.26,4.05,0.02
16.84375,-8.29,3.4,-0.51
16.875,-7.8,3.72,-0.32
16.90625,-8.15,3.91,-0.31
16.9375,-8.42,3.24,-0.1
16.96875,-8.4,3.4,-0.14
17,-8.78,3.68,-0.3
17.03125,-8.34,3.28,0.31
17.0625,-7.77,3.08,0.7
17.09375,-8.23,3.13,0.66
17.125,-8.16,2.58,0.35
17.15625,-8.2,2.49,0.23
17.1875,-8.07,2.6,0.56
17.21875,-8.17,2.45,0.59
17.25,-8.52,2.39,1.02
17.28125,-8.65,1.7,0.74
17.3125,-7.85,2.5,1.14
17.34375,-8.94,2.33,1.18
17.375,-8.48,2.02,0.87
17.40625,-8.71,1.23,1.05
17.4375,-9.15,1.03,1
17.46875,-8.92,0.93,0.8
17.5,-8.8,1.64,0.42
17.53125,-8.93,0.86,0.74
17.5625,-9.05,0.84,0.33
17.59375,-8.5,0.92,0.18
17.625,-8.97,1.36,0.43
17.65625,-8.29,0.93,0.41
17.6875,-8.19,0.86,-0.08
17.71875,-8.52,0.45,-0.19
17.75,-7.78,0.81,0.05
17.78125,-8.18,0.73,-0.16
17.8125,-7.8,0.89,-0.45
17.84375,-8.31,0.73,-0.42
17.875,-8.21,0.64,-0.91
17.90625,-8.76,1.45,-0.82
17.9375,-7.88,1.67,-0.67
17.96875,-7.73,1.46,-1.55
18,-7.86,1.69,-0.62
18.03125,-8.12,1.3,-0.81
18.0625,-7.69,2.47,-1.18
18.09375,-7.49,2.11,-1.1
18.125,-7.35,1.84,-0.77
18.15625,-6.96,2.84,-1.37
18.1875,-7.24,2.07,-0.83
18.21875,-7.44,2.16,-1.14
18.25,-6.97,2.57,-0.89
18.28125,-7.94,2.46,-0.99
18.3125,-7.43,2.29,-0.3
18.34375,-7.55,2.24,-0.77
18.375,-7.41,2.29,-0.57
18.40625,-6.83,2.67,-0.14
18.4375,-7.35,2.13,-0.19
18.46875,-8,2.67,-0.55
18.5,-7.23,1.91,-0.15
18.53125,-7.52,1.73,0.12
18.5625,-7.99,1.97,-0.18
18.59375,-8.05,1.36,0.19
18.625,-7.73,1.54,0.12
18.65625,-8.13,1.5,0.1
18.6875,-7.13,0.99,-0.16
18.71875,-7.49,1.26,0.39
18.75,-7.69,1.39,0.45
18.78125,-7.92,0.99,-0.17
18.8125,-7.41,1.26,-0.25
18.84375,-7.8,0.6,0.34
18.875,-7.35,0.65,0.3
18.90625,-7.08,0.29,0.21
18.9375,-7.51,1.08,0.39
18.96875,-7.88,0.49,0.44
19,-6.82,0.27,0.87
19.03125,-7.74,0.3,0.05
19.0625,-7.69,0.4,0.57
19.09375,-8.06,-0.02,0.69
19.125,-7.46,0.43,0.61
19.15625,-7.29,0.01,0.65
19.1875,-7.47,-0.41,0.29
19.21875,-7.57,0.11,0.52
19.25,-7.73,-0.26,0.4
19.28125,-7.29,-0.36,0.2
19.3125,-7.4,-0.96,0.57
19.34375,-7.01,-0.6,0.6
19.375,-7.78,-0.48,0.4
19.40625,-7.15,-1.12,0.19
19.4375,-7.7,-0.39,0.46
19.46875,-7.39,-1.46,0.18
19.5,-7.63,-0.39,0.2
19.53125,-7.05,-0.79,-0.07
19.5625,-7.54,-0.53,0.29
19.59375,-6.67,-1.2,-0.07
19.625,-6.78,-0.89,0.64
19.65625,-7.12,-1.21,0.35
19.6875,-7.6,-0.47,0.48
19.71875,-7.63,-0.76,-0.08
19.75,-7.2,-0.73,-0.25
19.78125,-7.3,-0.44,0.13
19.8125,-7.58,-0.93,0.55
19.84375,-7.63,-0.93,-0.12
19.875,-7.77,-0.64,-0.42
19.90625,-6.81,-0.31,0
19.9375,-7.1,-0.15,0.3
19.96875,-7.51,-0.01,-0.22
20,-7.33,-0.49,-0.16
20.03125,-7.76,-0.84,-0.34
20.0625,-7.36,-0.03,-0.04
20.09375,-7.36,0.23,0.12
20.125,-7.37,-0.64,0.07
20.15625,-7.46,-0.12,0.16
20.1875,-7.21,-0.28,0.32
20.21875,-7.1,0.04,-0.06
20.25,-7.27,-0.22,-0.17
20.28125,-7.4,-0.78,0.08
20.3125,-7.54,0.04,-0.14
20.34375,-7.37,0.48,-0.55
20.375,-7.31,-0.07,0
20.40625,-6.63,-0.37,0.14
20.4375,-7.39,0.23,-0.28
20.46875,-7.07,0.13,0.27
20.5,-7.51,-0.01,0.2
20.53125,-7.04,0.34,-0.19
20.5625,-7.58,0.01,-0.12
20.59375,-7.03,0.27,0.36
20.625,-6.94,-0.27,-0.37
20.65625,-6.72,0.12,0.1
20.6875,-6.7,-0.23,-0.21
20.71875,-6.98,0.07,-0.06
20.75,-6.97,0.73,-0.23
20.78125,-7.25,0.18,-0.22
20.8125,-6.93,0.61,0.21
20.84375,-6.62,0.82,-0.13
20.875,-7.3,0.94,-0.24
20.90625,-7.09,1.14,-0.94
20.9375,-7.24,0.97,0.11
20.96875,-7.04,0.92,-0.18
21,-7.16,1.56,-0.11
21.03125,-6.74,1.1,0.11
21.0625,-7.23,1.44,0.31
21.09375,-7.53,1.41,0.07
21.125,-6.79,1.1,-0.04
21.15625,-7.56,1.29,-0.18
21.1875,-6.32,1.72,0.36
21.21875,-6.76,1.71,-0.28
21.25,-7.71,1.28,0.1
21.28125,-6.58,1.56,-0.04
21.3125,-6.98,1.5,-0.12
21.34375,-6.96,1.42,-0.45
21.375,-6.87,1.21,-0.11
21.40625,-7.13,1.13,-0.05
21.4375,-6.1,1.83,0.32
21.46875,-6.82,1.31,-0.5
21.5,-6.72,1.27,0.03
21.53125,-6.34,1.32,0.08
21.5625,-6.25,1.58,0.2
21.59375,-7.08,1.53,-0.03
21.625,-6.62,1.5,0.33
21.65625,-6.96,1.9,0.02
21.6875,-6.69,1.11,0.13
21.71875,-6.84,1.14,0.43
21.75,-6.49,1.07,-0.44
21.78125,-6.8,1.65,0.21
21.8125,-6.68,0.91,-0.06
21.84375,-6.6,1.5,-0.1
21.875,-6.84,1.9,0
21.90625,-6.87,1.32,-0.15
21.9375,-7.12,1.56,-0.28
21.96875,-6.58,1.6,-0.12
22,-6.86,1.33,-0.12
22.03125,-6.61,1.75,-0.04
22.0625,-6.21,1.35,0.19
22.09375,-6.29,1.09,-0.22
22.125,-6.35,1.7,-0.03
22.15625,-6.8,1.92,0.23
22.1875,-7.23,1.4,0.04
22.21875,-6.25,1.16,-0.43
22.25,-6.57,2.12,-0.25
22.28125,-6.65,1.44,-0.31
22.3125,-6.73,1.43,-0.11
22.34375,-7.14,1.24,0.48
22.375,-6.94,1.23,0.09
22.40625,-7.05,1.39,-0.06
22.4375,-6.77,1.39,0.33
22.46875,-7.03,1.24,-0.23
22.5,-6.21,0.78,0.31
22.53125,-6.83,1.28,-0.38
22.5625,-6.94,1.66,0.2
22.59375,-6.61,1.82,-0.1
22.625,-6.86,1.04,-0.16
22.65625,-6.84,1.1,-0.32
22.6875,-6.78,1.44,-0.2
22.71875,-7.33,1.23,-0.4
22.75,-6.36,1.38,0.47
22.78125,-7.3,1.4,-0.15
22.8125,-6.91,1.31,-0.26
22.84375,-6.75,1.32,0.17
22.875,-7.18,1.83,0.24
22.90625,-7.16,1.01,-0.25
22.9375,-6.85,1.74,-0.25
22.96875,-7.26,1.51,-0.24
23,-7.21,1.35,-0.15
23.03125,-6.9,1.65,0.52
23.0625,-6.87,1.11,0.14
23.09375,-6.63,1.43,0.1
23.125,-6.82,1.24,-0.3
23.15625,-7.01,1.63,-0.04
23.1875,-6.55,1.5,-0.02
23.21875,-6.8,1.79,-0.35
23.25,-6.82,1.91,0.2
23.28125,-6.51,2.23,0.22
23.3125,-6.48,2.26,-0.1
23.34375,-7.06,2.3,-0.09
23.375,-6.29,2.5,-0.08
23.40625,-6.14,2.42,-0.13
23.4375,-6.46,2.84,0.07
23.46875,-5.82,2.17,0.08
23.5,-6.2,3.08,-0.39
23.53125,-6.14,2.73,-0.18
23.5625,-6.43,3.09,0
23.59375,-5.48,3.24,-0.47
23.625,-5.85,3.76,-0.4
23.65625,-6.33,3.4,-0.22
23.6875,-5.72,3.18,0
23.71875,-5.97,4.19,-0.32
23.75,-5.36,3.71,-0.38
23.78125,-5.44,4.61,-0.05
23.8125,-5.75,3.88,-0.35
23.84375,-5.77,3.98,-0.23
23.875,-5.12,4.62,0.24
